Geographic_name,Geographic_area_type,Province or territory abbreviation,Population_2021,Population_2016,Population_perc_change_2016_2021,"Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021",Latitude,Longitude
Admirals Beach,T,N.L.,97,135,-28.1,76,80,-5,48,62,-22.6,24.2,4,"4,267",325,47.0171497,-53.5989861
Anchor Point,T,N.L.,305,314,-2.9,131,130,0.8,122,124,-1.6,2.26,134.9,"3,492",218,51.2389361,-56.7885527
Appleton,T,N.L.,620,574,8,285,246,15.9,265,239,10.9,6.33,98,"2,677",121,48.9817361,-54.8572361
Aquaforte,T,N.L.,74,80,-7.5,63,71,-11.3,43,41,4.9,6.88,10.7,"4,387",339,47.0080555,-52.9563889
Arnold's Cove,T,N.L.,964,949,1.6,547,537,1.9,434,392,10.7,5.25,183.8,"2,155",79,47.7689194,-53.9917694
Avondale,T,N.L.,584,641,-8.9,346,373,-7.2,286,294,-2.7,29.69,19.7,"2,741",130,47.3991028,-53.2264333
Badger,T,N.L.,682,704,-3.1,357,325,9.8,313,302,3.6,1.89,361.6,"2,559",110,48.9788806,-56.0416916
Baie Verte,T,N.L.,1311,1313,-0.2,647,646,0.2,556,545,2,371.37,3.5,"1,807",63,49.9087083,-56.1946584
Baine Harbour,T,N.L.,126,124,1.6,69,61,13.1,59,52,13.5,4.15,30.4,"4,144",303,47.3659444,-54.8972055
Bauline,T,N.L.,412,452,-8.8,172,174,-1.1,161,163,-1.2,16.05,25.7,"3,140",178,47.7008305,-52.8195695
Bay Bulls,T,N.L.,1566,1500,4.4,631,589,7.1,597,566,5.5,30.6,51.2,"1,624",55,47.3261583,-52.793875
Bay L'Argent,T,N.L.,234,241,-2.9,134,132,1.5,115,109,5.5,3.74,62.6,"3,732",250,47.542664,-54.886061
Bay Roberts,T,N.L.,5974,6012,-0.6,"2,803","2,658",5.5,"2,490","2,413",3.2,24.51,243.7,651,14,47.5827278,-53.2932639
Bay de Verde,T,N.L.,347,392,-11.5,200,216,-7.4,157,173,-9.2,13.24,26.2,"3,358",203,48.1011611,-52.8895167
Baytona,T,N.L.,251,262,-4.2,162,129,25.6,111,116,-4.3,15.15,16.6,"3,678",242,49.3305861,-54.7841194
Beachside,T,N.L.,97,132,-26.5,70,80,-12.5,52,64,-18.8,2.58,37.5,"4,267",325,49.6428889,-55.8991139
Bellburns,T,N.L.,52,53,-1.9,41,46,-10.9,29,26,11.5,8.83,5.9,"4,501",351,50.3279667,-57.5284278
Belleoram,T,N.L.,348,374,-7,170,175,-2.9,142,152,-6.6,2.2,158.4,"3,355",202,47.524733,-55.416094
Birchy Bay,T,N.L.,511,550,-7.1,267,260,2.7,226,227,-0.4,49.33,10.4,"2,908",154,49.3215389,-54.7361083
Bird Cove,T,N.L.,175,179,-2.2,88,93,-5.4,81,76,6.6,7.69,22.8,"3,954",281,51.0460695,-56.9334055
Bishop's Cove,T,N.L.,252,287,-12.2,147,147,0,115,125,-8,1.9,132.4,"3,671",240,47.6367556,-53.2327389
Bishop's Falls,T,N.L.,3082,3156,-2.3,"1,540","1,502",2.5,"1,422","1,396",1.9,26.38,116.8,"1,026",23,49.0209528,-55.4898944
Bonavista,T,N.L.,3190,3448,-7.5,"1,732","1,749",-1,"1,470","1,520",-3.3,31.56,101.1,"1,001",22,48.6317917,-53.1041333
Botwood,T,N.L.,2778,2875,-3.4,"1,389","1,302",6.7,"1,251","1,229",1.8,14.56,190.8,"1,102",27,49.1356472,-55.3731528
Branch,T,N.L.,177,228,-22.4,142,174,-18.4,96,108,-11.1,16.18,10.9,"3,944",278,46.8822222,-53.9644445
Brent's Cove,T,N.L.,119,157,-24.2,84,85,-1.2,64,75,-14.7,1.02,116.4,"4,177",307,49.9369444,-55.7069444
Brighton,T,N.L.,163,188,-13.3,97,98,-1,71,78,-9,2.26,72.2,"3,997",288,49.5400695,-55.6432555
Brigus,T,N.L.,699,723,-3.3,506,446,13.5,327,317,3.2,11.48,60.9,"2,527",107,47.5329806,-53.2150917
Bryant's Cove,T,N.L.,343,395,-13.2,149,162,-8,142,148,-4.1,4.9,70,"3,370",206,47.6760917,-53.1930222
Buchans,T,N.L.,590,642,-8.1,338,417,-18.9,304,331,-8.2,4.63,127.6,"2,732",129,48.8238,-56.8490694
Burgeo,T,N.L.,1176,1307,-10,660,655,0.8,571,615,-7.2,29.51,39.9,"1,926",71,47.6199167,-57.6216334
Burin,T,N.L.,2237,2315,-3.4,"1,155","1,145",0.9,"1,008",989,1.9,34.49,64.9,"1,286",33,47.082841,-55.175272
